id,user_id,mobile
1,11,+46 70 123 6543
2,12,+46 73 234 7654
3,13,+46 75 345 8765
4,14,+46 76 456 9876
5,14,+46 76 456 9808
6,15,+46 72 567 0987
7,16,+46 70 678 1098
8,17,
9,18,+46 75 890 3210
10,19,+46 76 901 4321
11,20,+46 72 012 5432
12,21,+46 70 123 6541
13,22,+46 73 234 7652
14,23,+46 75 345 8763
15,23,+46 72 567 0919
16,24,+46 76 456 9874
17,25,+46 72 567 0985
18,26,+46 70 678 1096
19,27,+46 73 789 2107
20,28,+46 75 890 3218
21,29,+46 76 901 4329
22,30,+46 72 012 5430
23,30,+46 70 678 1030
24,31,+46 70 123 6549
25,32,+46 73 234 7658
26,33,
27,34,+46 76 456 9870
28,35,+46 72 567 0981
29,36,+46 70 678 1092
30,37,+46 73 789 2103
31,38,+46 75 890 3214
32,39,+46 76 901 4325
33,40,+46 72 012 5436
34,41,+46 70 123 6547
35,42,+46 73 234 7650
36,43,+46 75 345 8761
37,44,+46 76 456 9872
38,45,+46 72 567 0983
39,46,+46 70 678 1094
40,47,+46 73 789 2105
41,48,+46 75 890 3216
42,49,+46 76 901 4327
43,50,+46 72 012 5438
44,51,+46 70 123 6571
45,52,+46 73 234 7682
46,53,+46 75 345 8793
47,54,+46 76 456 9804
48,55,+46 72 567 0915
49,56,+46 70 678 1026
50,57,+46 73 789 2137
51,58,+46 75 890 3248
52,59,+46 76 901 4359
53,60,+46 72 012 5460
54,61,+46 70 123 6572
55,62,+46 73 234 7683
56,63,+46 75 345 8794
57,64,+46 76 456 9805
58,65,+46 72 567 0916
59,66,+46 70 678 1027
60,67,+46 73 789 2138
61,68,+46 75 890 3249
62,69,+46 76 901 4350
63,70,+46 72 012 5461
64,71,
65,72,+46 73 234 7684
66,73,+46 75 345 8795
67,74,+46 76 456 9806
68,75,+46 72 567 0917
69,76,+46 70 678 1028
70,77,+46 73 789 2139
71,78,+46 75 890 3250
72,79,+46 76 901 4351
73,80,+46 72 012 5462
74,81,+46 70 123 6574
75,82,+46 73 234 7685
76,83,+46 75 345 8796
77,84,+46 76 456 9807
78,85,+46 72 567 0918
79,86,+46 70 678 1029
80,87,+46 73 789 2140
81,88,+46 75 890 3251
82,89,+46 76 901 4352
83,90,+46 72 012 5463
84,91,+46 70 123 6575
85,92,+46 73 234 7686
86,93,+46 75 345 8797
87,47,+46 73 789 2141
88,53,+46 72 012 5464
89,67,+46 75 890 3252
90,77,+46 76 901 4353
